N,P,K,temperature,humidity,ph,rainfall,label
75,61,41,23.928,80.2087,5.6416,173.3265,rice
73,50,34,21.7728,81.9427,6.069,268.2478,rice
60,58,44,25.656,81.2936,5.6854,248.94,rice
82,50,37,26.7293,83.5746,6.7614,274.8318,rice
93,46,40,24.1764,80.4975,6.6409,180.6598,rice
65,43,37,25.2879,84.7258,6.8272,239.7669,rice
82,46,34,20.0077,79.3679,6.529,213.5184,rice
65,58,45,24.0828,84.0296,6.6663,193.2051,rice
93,56,35,22.5641,81.144,5.9736,193.0924,rice
68,42,36,24.2496,81.3447,5.6915,214.4108,rice
68,55,42,24.8629,83.1768,6.2671,193.1773,rice
64,54,36,26.6708,81.9947,5.8509,193.4053,rice
65,60,44,24.8554,81.87,5.9021,265.1019,rice
71,54,41,22.1551,82.9787,6.3855,269.3355,rice
95,45,42,24.9066,84.016,6.2402,242.8388,rice
99,60,41,22.1477,82.3108,6.6883,215.63,rice
82,63,38,23.3264,84.6913,6.6369,256.7914,rice
81,53,41,24.6711,84.0608,7.0665,207.8431,rice
74,50,36,19.626,86.502,6.2246,200.7938,rice
100,49,40,24.9662,81.0197,6.111,185.3636,rice
79,57,40,21.3196,84.5369,6.794,240.8817,rice
77,42,36,23.3711,83.0895,6.3545,187.294,rice
62,55,37,24.1359,85.1405,6.3524,220.2665,rice
73,58,36,26.1077,82.0389,5.5943,253.8402,rice
92,54,44,23.0191,81.8722,6.7577,214.8724,rice
97,45,36,25.9286,82.5488,5.8784,278.4359,rice
82,57,42,25.9292,81.0699,6.3774,184.1649,rice
92,51,35,20.7493,86.4086,6.1472,219.9709,rice
67,49,36,23.3251,78.8359,5.5938,191.2119,rice
98,35,43,20.3144,84.9537,6.4367,294.0225,rice
78,53,38,26.7001,80.0695,5.7859,289.7083,rice
59,58,46,24.227,84.5119,6.0822,267.1716,rice
94,37,41,22.6385,85.109,6.7934,279.7973,rice
97,58,35,22.3868,81.9235,6.9643,242.9368,rice
78,54,43,26.4042,82.3259,6.3072,267.7775,rice
80,54,38,23.79,83.8856,5.8881,247.9839,rice
83,42,37,20.7568,82.6953,5.6959,193.0376,rice
61,38,35,22.2214,80.4788,5.611,231.7556,rice
93,56,40,21.7828,83.4045,6.4032,204.5543,rice
93,46,37,20.4269,81.1555,6.4676,211.08,rice
90,46,39,23.1049,81.0204,6.7123,227.621,rice
70,38,35,21.8569,80.7532,5.756,206.8227,rice
102,60,45,21.4245,80.2899,6.4028,283.6301,rice
64,37,41,21.5902,82.5216,5.8322,230.041,rice
70,52,44,24.9595,82.238,6.1291,215.4029,rice
68,42,42,23.6373,81.6072,5.8512,274.7345,rice
87,48,38,26.5815,81.0446,6.2753,282.2588,rice
83,57,42,21.3012,81.8923,5.9765,259.284,rice
66,58,39,23.2853,82.3543,5.753,199.9257,rice
94,54,39,23.2887,85.4622,5.7781,245.6047,rice
87,40,46,24.509,81.5326,6.5913,288.1354,rice
59,43,42,23.632,83.0961,5.9949,216.8012,rice
77,47,43,22.4545,82.9036,6.4642,178.0526,rice
90,39,44,21.3085,82.4574,5.2897,237.3849,rice
77,46,36,21.2387,84.7942,6.8419,220.6179,rice
69,38,43,20.0178,80.1457,6.771,201.8612,rice
89,48,39,21.0267,82.7815,6.6692,185.212,rice
73,49,42,22.1184,84.8926,6.609,195.1277,rice
68,49,38,22.0811,82.7024,6.8242,285.9385,rice
61,35,41,25.8048,83.0132,6.4525,249.5253,rice
64,47,42,22.5728,81.5388,6.0514,262.1329,rice
59,47,45,22.0262,85.667,5.7307,185.4528,rice
89,52,40,24.1914,82.6216,5.6992,287.3358,rice
95,42,40,21.6843,83.6616,6.808,189.6027,rice
93,60,42,23.9585,84.0492,6.7803,217.1639,rice
87,43,43,25.9432,84.4887,6.0793,180.8699,rice
93,58,41,22.3989,80.1731,6.4856,200.9126,rice
98,52,37,23.0063,84.888,6.946,243.6907,rice
68,37,39,21.8293,84.2415,5.9875,182.8366,rice
80,50,41,20.9697,86.3975,5.8807,190.2552,rice
68,40,45,23.6427,81.7291,5.7171,246.9615,rice
95,57,44,26.6452,84.9852,6.5458,272.805,rice
75,51,37,25.7707,84.914,6.1262,188.1781,rice
65,53,41,27.2778,80.6828,6.4622,279.0225,rice
74,49,35,25.0831,85.5996,7.0613,253.9567,rice
98,46,38,20.5052,84.8465,6.6055,203.7888,rice
75,50,39,21.8048,85.8704,6.0797,280.8784,rice
67,57,44,25.3516,85.664,6.5739,257.8889,rice
67,47,35,23.7297,83.8172,6.6468,219.2574,rice
91,54,33,24.1152,81.402,5.841,288.6673,rice
73,46,38,22.766,79.6726,5.5734,225.0391,rice
86,38,46,20.8886,82.1712,6.6953,276.7946,rice
